Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
2021,131,Documentary,6.0,35,Arno Krimmer,Vishal Bhardwaj,Jagjit Singh,Zakir Hussain
2014,100,Drama,6.5,31,Sanghamitra Chaudhuri,Zeenat Aman,Indrani Haldar,Shubh Mukherjee
1936,131,Unknown,6.0,35,Jehanara Kajjan,Unknown,Unknown,Unknown
2006,131,Thriller,6.0,10,Mahesh Manjrekar,Amitabh Bachchan,Atul Kale,Mahesh Manjrekar
1991,131,Drama,6.0,35,Ajay Yadav,Rajpal Yadav,Ranjeet,Mukesh S. Bhatt
1991,131,Comedy,6.0,35,Ram Gopal Varma,Unknown,Unknown,Unknown
2012,146,"Comedy, Drama, Music",5.3,35,Karan Johar,Sidharth Malhotra,Alia Bhatt,Varun Dhawan
2019,146,"Action, Comedy, Drama",2.2,35,Punit Malhotra,Tiger Shroff,Ananya Panday,Tara Sutaria
2003,121,"Comedy, Drama, Sport",2.6,121,Gaurav Pandey,Raveena Tandon,Alyy Khan,Salman Khan
1944,131,Unknown,6.0,35,Kamlabai Gokhale,Unknown,Unknown,Unknown
1947,131,Unknown,6.0,35,Ramnik Vyas,Fearless Nadia,Unknown,Unknown
1994,131,"Action, Drama, Romance",4.8,20,Deepak Balraj Vij,Avtar Singh Ahluwalia,Tinnu Anand,Ami Asthana
2018,131,Romance,6.0,35,Samrat Das,Anil Arya,Anusheel Chakrabarty,Priyanka Jadhav
2001,157,"Comedy, Musical, Mystery",6.7,35,N. Chandra,Sharman Joshi,Sahil Khan,Riya Sen
2017,102,Romance,6.0,35,Nayana Khedkar,Rukshar Beherzi,Pawan Jain,Nayana Khedkar
1972,131,"Drama, Family",6.5,6,A. Bhimsingh,Sanjay Khan,Vinod Khanna,Om Prakash
1988,131,Drama,6.0,35,Sandeepan V. Kant,Pallavi Joshi,Guddi Maruti,Sangeeta Naik
1954,107,Romance,5.4,9,Shantaram Rajaram Vankudre,Pradeep Kumar,Shantaram Rajaram Vankudre,Jayshree Gadkar
1944,131,Unknown,6.0,35,P.C. Barua,P.C. Barua,Tulsi Chakraborty,Devbala
1983,131,Romance,8.0,83,Indrajeet Singh Bansal,Aamir Khan,Unknown,Unknown
1977,131,Action,6.0,35,Prakash Inamdar,Paidi Jairaj,Nana Palsikar,Mahesh Raaj
1996,150,Action,6.0,35,Udhayakumar,Arjun Sarja,Unknown,Unknown
2014,170,Drama,6.0,35,Naresh Khanna,Balraj Negi,Bijju,Baldev Rana
1946,122,Unknown,6.0,35,Master Vinayak,Prem Adib,Shanta Apte,Ishwarlal
1963,131,Unknown,6.0,35,Datta Dharmadhikari,Madhu Apte,Ram Chitnis,Chitra
1932,131,Unknown,6.0,35,Khatun,Jal Merchant,Sankatha,Lala Yaqoob
1974,131,Fantasy,6.0,35,K. Prabhakar,Gangadhar,Comedian Guggu,Kalpana
1971,180,"Action, Comedy, Drama",6.5,31,Tapi Chanakya,Sanjeev Kumar,Waheeda Rehman,Mohamad Ali Fardin
1966,130,"Biography, Drama, History",8.2,41,Piyush Bose,Amar Dutta,Samar Chatterjee,Ashish Ghosh
1966,131,Drama,6.0,35,Piyush Bose,Ajeet,Amar,Robin Kanerjee
2005,131,"Action, Drama, History",3.1,245,K. Raghavendra Rao,Venkatesh Daggubati,Prakash Raj,Tom Alter
1947,131,Drama,6.0,35,Bn Rao,Unknown,Unknown,Unknown
1956,131,Unknown,6.0,35,Datta Dharmadhikari,Nalini Jaywant,Mahipal,Shahu Modak
2005,105,Drama,7.2,13,Ramchandra P.N.,Sharada Devi,Bharathi Jain,Jagatpal Jain
2005,139,"Action, Crime, Drama",3.7,35,Jeppi,Ashima Bhalla,Karunas,M.N. Nambiar
2000,145,"Action, Crime, Drama",4.0,44,Raj Kapoor,Nassar,Prithviraj,Raghuvaran
1982,131,"Crime, Drama, Romance",6.0,35,Ravikant Nagaich,Anand Balraj,Leena Das,Gulshan Grover
1979,164,"Action, Drama, Musical",6.7,35,Manmohan Desai,Shashi Kapoor,Amitabh Bachchan,Rekha
1994,145,"Action, Comedy, Drama",5.7,35,Kuku Kohli,Ajay Devgn,Akshay Kumar,Karisma Kapoor
1987,131,Drama,6.0,35,Ramesh Bedi,Prem Bedi,Jamuna,Ashok Kalra
2001,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1968,160,"Drama, Romance",4.8,29,R. Bhattacharya,Rajshree,Jeetendra,Sulochana Latkar
1974,131,Drama,6.0,35,Nirmal Kumar,Sushil Kumar,Narendra,Unknown
1958,131,Unknown,6.0,35,B. Ramakrishnaiah Panthulu,Shivaji Ganesan,Gemini Ganesan,M.V. Rajamma
1961,131,Drama,5.0,5,R. Krishnan,S. Panju,Balraj Sahni,Mala Sinha
1953,131,Unknown,6.0,35,Shyama,Unknown,Unknown,Unknown
1954,131,"Drama, Family",6.3,6,Anant Mane,Guru Dutt,Mala Sinha,Geeta Bali
1942,131,"Drama, Family",6.0,35,Jagatrai Pesumal Advani,Unknown,Unknown,Unknown
1986,143,Romance,6.1,43,K. Raghavendra Rao,Jeetendra,Sridevi,Padmini Kolhapure
1964,131,"Drama, Romance",6.2,17,K.S. Gopalakrishnan,Guru Dutt,Mala Sinha,Om Prakash
1948,131,Unknown,6.0,35,A. Shakoor,Manorama,Unknown,Unknown
1996,131,Action,6.0,35,Mahesh Anand,Balbir,Ravi Bhushan,Firoz Khan
1970,130,"Comedy, Drama",6.4,45,Vijay,Shashi Kapoor,Sharmila Tagore,Lalita Pawar
2018,122,"Comedy, Drama",6.8,35,Sharat Katariya,Anushka Sharma,Varun Dhawan,Raghuvir Yadav
1960,161,"Drama, Romance",7.3,326,Bimal Roy,Nutan,Sunil Dutt,Shashikala
2020,104,Drama,6.0,35,Deepak Bhardwaj,Kavita Joshi,Pratap Kumar,Rahul Kumar
2020,131,Drama,6.0,35,Rizwan Denial,Manoj Bakshi,Hemant Birje,Rizwan Khan
1994,131,Drama,6.0,35,Texas Gaikwad,Avinash,Meera,Nandini
1942,131,"Drama, Family",6.0,35,Master Bhagwan,Harishchandra,Unknown,Unknown
1994,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1984,131,Drama,6.0,35,Himmat Dave,Jayshree Gadkar,Heena Kausar,Arvind Kumar
1946,131,Unknown,6.0,35,Apurba Kumar Mitra,Biman Bannerjee,Tulsi Chakraborty,Ahindra Choudhury
2014,89,"Comedy, Romance",7.1,35,Amit Masurkar,Naveen Kasturia,Mayank Tewari,Aditi Vasudev
2004,138,"Action, Crime, Drama",3.2,359,Ramana,Dhanush,Manivannan,Pasupathy
1933,131,Unknown,6.0,35,R.S. Choudhury,Ruby Mayer,Jillo,Chanda
2000,120,"Action, Drama",5.6,54,T.L.V. Prasad,Vikas Anand,Birbal,Mithun Chakraborty
2016,170,"Action, Drama, Sport",7.0,35,Ali Abbas Zafar,Salman Khan,Kubbra Sait,Anushka Sharma
1956,131,Fantasy,6.0,35,Nanubhai Vakil,Chitra,Hiralal,Kuldip Kaur
1982,131,Romance,6.0,35,Farhat Chaudhary,Yusuf Kamal,Chandan Kumar,Ashok Mehta
1979,131,Drama,6.0,35,Sona Mastan Mirza,Satish Kaul,Raza Murad,Kanchan Mattu
1934,131,Unknown,6.0,35,Abdul Rashid Kardar,Gul Hamid,Mazhar Khan,Zarina
1937,131,Unknown,6.0,35,Shakuntala Paranjpye,Unknown,Unknown,Unknown
1972,131,Action,8.7,6,Mohammed Hussain,Dara Singh,Ajit,Helen
1982,131,Action,5.2,5,Mohammed Hussain,Dara Singh,Ajit,Helen
1956,131,Action,6.0,35,Mohan Sinha,Sheila Ramani,Paidi Jairaj,Raju
2000,131,Action,6.0,35,Teerat Singh,Ramesh Goyal,Shakti Kapoor,Ali Khan
1982,131,"Action, Drama, Romance",5.9,10,Shibu Mitra,Ashok Kumar,Vinod Mehra,Rati Agnihotri
2008,166,"Crime, Drama, Thriller",6.2,238,Sohail Tatari,Sikandar Kher,Gul Panag,Yuvika Chaudhary
2018,128,"Comedy, Drama",7.1,16,Kunal v Singh,Saurabh Agarwal,Altaf,Manish Garg
2017,91,Drama,6.0,35,Dilip Sood,Unknown,Unknown,Unknown
1991,131,Crime,6.0,35,Manish,Sonu Bhai,Subhankar Chatterjee,Amit Sagar
1983,143,Romance,6.9,11,Chander H. Bahl,Birbal,Deepika Chikhalia,Iftekhar
1990,131,Unknown,6.0,35,Rajshri Nair,Sheela Sharma,Unknown,Unknown
1982,138,"Drama, Family, Romance",6.3,21,Chander H. Bahl,Mithun Chakraborty,Ranjeeta Kaur,Iftekhar
1958,131,Unknown,6.0,35,Shanti Prakash Bakshi,Ravindra Kapoor,Shashikala,Unknown
2006,125,"Drama, Romance",5.4,18,Rohit Krishnakant Nayyar,Samir Aftab,Mithun Chakraborty,Renuka Shahane
1979,131,"Comedy, Drama, Romance",5.9,39,Hiren Nag,Sulochana Latkar,Murad,Gayatri
2003,78,Documentary,6.0,35,Rahul Roy,Unknown,Unknown,Unknown
1936,131,Unknown,6.0,35,Aspi Irani,Laxmi,Unknown,Unknown
1997,131,Drama,6.0,35,Gul Bahar Singh,Master Amey Ambulkar,Anita Kulkarni,Sadhu Meher
2008,135,"Action, Comedy, Mystery",5.3,35,Rohit Shetty,Ajay Devgn,Ayesha Takia,Arshad Warsi
1993,131,Comedy,6.7,6,Pankaj Advani,Rakesh Bedi,Deven Bhojani,Kurush Deboo
2017,110,"Crime, Mystery, Thriller",6.0,35,Avdhesh Kumar Sharma,Ramesh Diwedi,Adi Irani,Akshat Irani
2020,67,Romance,6.0,35,Shreya Rastogi,Shreya Rastogi,Falak Khan,Aparna Desai
1980,131,Romance,6.0,35,Sandeep Mehta,Unknown,Unknown,Unknown
1936,167,Unknown,6.0,35,Debaki Bose,Rampiary,Kamala Jharia,Gul Hamid
1975,131,"Drama, Family",5.4,22,Adurthi Subba Rao,Rajendra Kumar,Mala Sinha,Hema Malini
1949,143,Drama,6.6,30,Satish Nigam,Raj Kapoor,Rehana,Roopkamal
1966,131,Romance,6.0,35,Agha,Sabita Chatterjee,Randhir,Rehman
1968,175,"Action, Crime, Drama",6.8,93,Harnam Singh Rawail,Dilip Kumar,Vyjayanthimala,Balraj Sahni
2013,100,"Comedy, Drama, Thriller",5.4,30,Rituparno Ghosh,Jaya Bachchan,Madhavan,Tota Roy Chowdhury
1938,131,Unknown,6.0,35,Feroze Dastur,Indurani,Unknown,Unknown
1966,131,Unknown,6.0,35,Kedar Kapoor,Vijaya Choudhury,Meenaxi,Randhawa
1963,131,Unknown,5.7,6,Babubhai Mistry,Mahipal,Helen,Sulochana Latkar
1939,131,Unknown,6.0,35,Navinchandra,Unknown,Unknown,Unknown
2017,56,"Drama, Romance",6.1,7,Fenil Seta,Shreyas Porus Pardiwalla,Harsha Chopda,Sunita Verma
1984,114,"Drama, Romance",5.6,128,Raj Khosla,Sunny Deol,Amrita Singh,Dharmendra
2009,127,Drama,4.5,6,Amy Thanawala,Tara Sharma,Makrand Shukla,Rajendra Chawla
2004,169,"Action, Comedy, Musical",2.5,147,Vimal Kumar,Aftab Shivdasani,Ameesha Patel,Gulshan Grover
2004,131,Horror,6.0,35,Unknown,Unknown,Unknown,Unknown
2005,60,Documentary,8.6,663,Komal Tolani,Amitabh Bachchan,Bhagyashree,Mahesh Bhatt
2016,110,Comedy,6.5,31,Shailendra Singh,Sunny Kaushal,Ashrut Jain,Ajit Singh Arora
1976,121,Drama,6.8,20,Mohan Segal,Jeetendra,Ashok Kumar,Nirupa Roy
2003,142,"Action, Crime, Drama",4.3,136,Padam Kumar,Nandita Das,Uday Chopra,Rahul Dev
2014,90,Crime,5.9,33,Aamreeta Gautam,Sabreen Baker,Swetanshu Bora,Mukesh Ghatiya
2019,154,"Biography, Drama",8.0,35,Vikas Bahl,Hrithik Roshan,Mrunal Thakur,Nandish Singh
2016,131,Animation,5.8,5,Rajiv Chilaka,Unknown,Unknown,Unknown
2016,131,Animation,5.8,5,Rajiv Chilaka,Unknown,Unknown,Unknown
2016,131,Animation,5.5,11,Rajiv Chilaka,Krishna Mohan Chintapatla,Unknown,Unknown
2013,83,"Drama, Mystery, Romance",1.9,180,Navin Batra,Ashmit Patel,Veena Malik,Sana Oberoi
2014,133,"Comedy, Drama, Family",4.6,398,Indra Kumar,Rekha,Sharman Joshi,Randhir Kapoor
1994,95,"Action, Thriller",5.5,70,K. Muralimohana Rao,Ali,Brahmanandam,Chalapathi Rao
1960,131,"Action, Adventure",4.8,18,Mohammed Hussain,Anant Thakur,Helen,Paidi Jairaj
1987,123,"Action, Adventure, Sci-Fi",4.5,301,B. Gupta,Puneet Issar,Sonia Sahni,Dharmendra
2008,66,Documentary,8.0,648,Faiza Ahmad Khan,Shakeel Bharati,Farogh Jafri,Akram Khan
2008,120,"Drama, Romance",6.0,707,Rohit Jugraj,Kunal Khemu,Tulip Joshi,Aushima Sawhney
2002,136,"Drama, Musical, Romance",6.4,475,Tanuja Chandra,Lucky Ali,Simone Singh,Achint Kaur
1990,131,Comedy,6.0,8,Subrata Bose,Shail Chaturvedi,Rohan Kapoor,Alok Nath
1985,149,"Comedy, Drama, Musical",6.8,45,K. Viswanath,Girish Karnad,Jaya Prada,Sachin Pilgaonkar
1982,131,"Thriller, Mystery",7.3,58,Jag Mundhra,Ambrish Sangal,Sanjeev Kumar,Shabana Azmi
1987,131,Drama,6.0,35,Tanvir Ahmed,Kamal Chopra,Gopi Desai,A.K. Hangal
2008,89,Family,6.0,35,Vishal Chaturvedi,Amla Chaturvedi,Siddharh Shrivastava,Shobit Shukla
2014,131,Documentary,6.0,35,Neeta Jain-Duhaut,Unknown,Unknown,Unknown
1966,155,"Romance, Musical, Action",6.7,124,T. Prakash Rao,Vyjayanthimala,Rajendra Kumar,Ajit
1997,131,Action,3.3,18,T.L.V. Prasad,Rakesh Bedi,Mithun Chakraborty,Puneet Issar
1973,131,"Action, Fantasy",5.7,10,T. Madhava Rao,Sanjeev Kumar,Rita Haksar,Sujit Kumar
1980,131,Romance,6.0,35,Zia-ur-Rasheed,Rahat Kazmi,Khalid Nizami,Suresh Oberoi
1998,131,Drama,6.0,35,Sathish Ranjan,Aafreen,Jeetraj,Anwar Khan
2020,139,Comedy,5.9,35,Abhishek Sharma,Manoj Bajpayee,Fatima Sana Shaikh,Vijay Raaz
1950,131,Unknown,6.0,35,O.P. Dutta,Rehana,Shyam,Gope
1992,131,Drama,6.0,35,Kunal Kapoor,Huma Khan,Sangeeta Naik,Syed Rizwanullah
1979,132,"Action, Adventure, Crime",7.3,95,Ravikant Nagaich,Ranjeeta Kaur,Mithun Chakraborty,Bhushan Jeevan
1995,148,"Action, Romance, Thriller",4.1,188,Anand,Raju Mavani,Saif Ali Khan,Aditya Pancholi
1993,140,Drama,6.0,35,K.S. Ravikumar,Unknown,Unknown,Unknown
2014,100,"Adventure, Drama, Thriller",6.3,68,Sanjay Talreja,Barkha Madan,Sumit Suri,Vineeta Malik
1985,134,"Action, Crime, Drama",5.4,16,Ashok Tyagi,Naseeruddin Shah,Moon Moon Sen,Suresh Oberoi
2004,131,"Romance, Thriller",5.6,5,Partho Ghosh,Milind Soman,Nataneya Singh,Amrish Puri
1969,131,Unknown,6.0,35,Sharad Desai,Jeevan,Ashish Kumar,Amrit Patel
2019,110,Action,6.0,35,Hemanth Naik K. Holalkere,Rani Padmaja Chauhan,Ramesh Paltya,Amrutha V. Raj
1989,131,"Action, Drama",6.5,43,Esmayeel Shroff,Raaj Kumar,Vinod Khanna,Raj Babbar
1933,131,Unknown,6.0,35,Dhirubhai Desai,Udwadia,Alaknanda,Gulab
1997,131,Drama,6.0,35,Uday Shankar Pani,Sudhir Dalvi,Sunila Devi,Puneet Issar
1992,161,"Fantasy, Horror",4.5,923,Rakesh Kumar,Salman Khan,Amrita Singh,Sheeba
1977,131,Drama,6.0,35,Datta Chauhan,Prabhakar,Mahesh Raj,Shabana
1963,131,Family,6.0,35,Mahendra Pran,Unknown,Unknown,Unknown
1987,140,Drama,7.3,26,Shyam Benegal,Shabana Azmi,Om Puri,Kulbhushan Kharbanda
2019,111,Mystery,6.0,35,Ajay Yadav,Ashwani,Antara Banerjee,Madhumita Biswas
1991,131,Comedy,6.0,35,Dhiraj Kumar,Arun Bali,Manu Rishi Chadha,Isabelle Kaif
1987,131,Drama,6.3,37,Chandrakant Joshi,Girish Karnad,Smita Patil,Nilu Phule
1957,131,"Musical, Drama, Fantasy",7.1,15,Vedantam Raghavaiah,Akkineni Nageshwara Rao,Saroja Devi B.,Shyama
1983,131,Drama,6.0,35,E. Daniels,Benjamin Gilani,A.K. Hangal,Neelam Mehra
2004,189,Drama,8.2,35,Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal
1946,131,Unknown,6.0,35,Nagendra Majumdar,Madhav Kale,Gohar Karnataki,Nagendra Majumdar
2010,131,"Drama, Fantasy, Horror",3.7,18,Manoj Sharma,Rikkee,Manoylo Svitlana,Ishrat Ali
1977,129,Drama,6.5,196,Basu Chatterjee,Shabana Azmi,Girish Karnad,Utpal Dutt
1941,152,Unknown,6.0,35,Abdul Rashid Kardar,Sitara Devi,Paidi Jairaj,Jeevan
2007,140,Drama,6.8,374,Ganesh Acharya,Manoj Bajpayee,Juhi Chawla,Maninder Wasu
1993,118,Action,6.0,35,Madhu,Jaya Prada,Srinath,Vishnuvardhan
2012,90,"Animation, Action, Adventure",7.6,37,Chetan Sharma,Mahesh Vettiyar,Unknown,Unknown
1982,151,"Action, Drama",6.3,87,Dev Anand,T.K. Desai,Dev Anand,Mithun Chakraborty
1955,131,Biography,6.5,12,Amar Mullick,Ajit Prakash,Bharati Devi,Anubha Gupta
1942,131,Unknown,6.0,35,Wajahat Mirza,Keki Adajania,Unknown,Unknown
1942,131,Unknown,6.0,35,Zia Sarhadi,Bhudo Advani,Eddie Billimoria,Kaushalya
1980,131,Documentary,6.0,35,Ram Mohan,Unknown,Unknown,Unknown
2003,90,Unknown,6.9,19,Anwar Jamal,Alka Amin,Tannishtha Chatterjee,Mandakini Goswami
1986,131,Drama,5.1,106,K. Bapaiah,Jeetendra,Jaya Prada,Mithun Chakraborty
1937,131,Unknown,6.0,35,Mohan Sinha,Radharani,O.K. Dar,Senhlata
1990,160,Drama,6.7,35,David Dhawan,Rajesh Khanna,Govinda,Madhavi
2003,103,Thriller,6.0,35,Subodh Govil,Ajay,Sonu Chaudhary,Rekha Gautam
1991,131,"Drama, Family",2.8,9,Swaroop Kumar,Raj Babbar,Sumeet Saigal,Aasif Sheikh
1935,131,Unknown,6.0,35,Imtiaz Ali Taj,Khurshid Begum,Umra-o-Zia Begum,Unknown
1978,164,"Comedy, Drama, Romance",5.5,57,Narayana Rao Dasari,Sanjeev Kumar,Jeetendra,Vinod Mehra
1945,131,Unknown,5.9,9,Debaki Bose,Biman Bannerjee,Padmadevi,Unknown
1959,131,Drama,6.0,35,Kanhaiyalal Chaturvedi,Sarita Devi,Raaj Kumar,Unknown
1991,131,"Action, Crime, Drama",6.2,64,Vimal Kumar,Mithun Chakraborty,Shilpa Shirodkar,Sumalatha
1944,131,Unknown,6.0,35,Bhalji Pendharkar,Leela,Unknown,Unknown
1986,131,Unknown,6.0,35,Radhakant,Rana Jung Bahadur,Shafi Inamdar,Anupam Kher
1939,131,Unknown,6.0,35,Mohan Sinha,Veena,Jeevan,Sushil Kumar
1991,131,Drama,6.0,35,Mahesh Manjrekar,Unknown,Unknown,Unknown
1997,131,Romance,6.0,35,Shashikumar,Sudharani,Umashree,Vajramuni
1986,151,Drama,6.7,103,Kranthi Kumar,Shashi Kapoor,Sharmila Tagore,Meenakshi Sheshadri
1991,131,Drama,3.9,13,Mahesh Bhatt,Waheeda Rehman,Sadashiv Amrapurkar,Mahesh Anand
1980,161,"Comedy, Drama, Romance",7.4,85,P. Sambasiva Rao,Shashi Kapoor,Sanjeev Kumar,Moushumi Chatterjee
1973,131,Drama,6.9,14,Sudhendu Roy,Mahendra Sandhu,Hansa Maker,Kishore Kapoor
1983,170,"Comedy, Drama",6.1,22,Zaheer D. Lari,Vinod Mehra,Shabana Azmi,Prema Narayan
2021,131,Drama,6.0,35,Rupender Verma,Rupender Verma,Priyanka Karandikar,Rupender Verma
2014,103,"Drama, Fantasy",6.0,35,Sohini Dasgupta,Unknown,Unknown,Unknown
2012,131,Drama,6.0,35,Spencer Mathew,Girish Karnad,Meghana Mudiyam,Unknown
1999,131,Thriller,6.0,35,Unknown,Unknown,Unknown,Unknown
2017,116,"Comedy, Drama, Romance",3.4,244,Hasnain Hyderabadwala,Himansh Kohli,Zoya Afroz,Darshan Jariwala
1981,131,Romance,6.0,35,Ish Nanda,Kalpana Iyer,Satyendra Kapoor,Shreeram Lagoo
2021,130,"Action, Thriller",4.2,11,Mustufa Raj,Armen Grayg,Hanif Hilal,Naren Kumar
2018,104,Drama,8.7,93,Kireet Khurana,Subrat Dutta,Pitobash,Manoj Pahwa
2007,153,"Comedy, Drama, Family",5.6,35,Siddharth Anand,Saif Ali Khan,Rani Mukerji,Javed Jaffrey
1991,93,"Action, Drama, Thriller",6.0,35,Nirang Desai,Priyanka Bose,Neeraj Kabi,Prasenjit Chatterjee
1999,179,"Drama, Musical, Romance",6.7,35,Subhash Ghai,Akshaye Khanna,Anil Kapoor,Aishwarya Rai Bachchan
2021,131,Fantasy,6.0,35,Ram Madhvani,Amitabh Bachchan,Unknown,Unknown
2020,101,"Action, Drama",7.3,25,Ritam Srivastav,Dilip Arya,Indraneel Bhattacharya,Shashi Chaturvedi
2001,131,Musical,2.9,14,Atul Harishanker,Unknown,Unknown,Unknown
1994,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
2018,70,"Action, Drama",6.0,35,Prashast Singh,Prashast Singh,Unknown,Unknown
1982,131,"Action, Drama",5.9,7,Narendra Bedi,Vinod Khanna,Parveen Babi,Rakhee Gulzar
1995,180,"Crime, Romance",4.8,90,Talat Jani,Dharmendra,Shatrughan Sinha,Kajol
2005,131,Action,6.0,35,Meghna Naidu,Prashanth,Unknown,Unknown
1989,131,Action,5.5,98,David Dhawan,Sanjay Dutt,Govinda,Anita Raj
2011,131,Action,6.0,35,Rakesh Sharma,Ishrat Ali,Sudesh Berry,Muni Jha
2004,163,"Action, Fantasy, Thriller",4.5,35,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Vatsal Sheth,Ayesha Takia
1999,133,Action,4.4,21,Gopi Sapru,Mithun Chakraborty,Divya Dutta,Neelu Hasan
2013,108,"Adventure, Drama, Thriller",7.2,35,Aditya Datt,Paresh Rawal,Rajeev Khandelwal,Tina Desai
2003,154,Action,4.7,24,Sisir. P. Mishra,Ishrat Ali,Sadashiv Amrapurkar,Arjun
1990,135,Drama,5.6,8,Sohanlal Kanwar,Sujata Mehta,Chunky Panday,Nana Patekar
2021,131,Thriller,6.0,35,Milan Luthria,Tara Sutaria,Ahan Shetty,Swati Kapoor
2005,117,Romance,6.0,35,Asif Ali,Asif Ali,Uttar Kumar,Sweta
1982,131,Action,6.0,35,Jyoti Sarup,Navin Nischol,Beena Banerjee,Mohan Gokhale
2004,131,"Crime, Drama, Thriller",6.0,35,Mohammad Farooq,Shakeb Khan,Naina Rawal,Mahek
2005,105,Thriller,6.0,35,Jaspal Neelam,Poonam Dasgupta,Rajesh Sabharwal,Aman Sagar
1945,121,"Drama, Family",6.0,35,Jayant Desai,K.L. Saigal,Suraiya,Mubarak
1993,134,"Action, Drama",4.7,142,Mahesh Bhatt,Mithun Chakraborty,Pooja Bhatt,Anupam Kher
2005,131,Action,6.0,35,Saloni Aswani,Mukesh Khanna,Suman,Unknown
1991,131,Romance,6.0,35,Prakash Raj,Taapsee Pannu,Ali Fazal,Shriya Saran
1992,168,"Action, Adventure, Thriller",5.7,316,Anil Sharma,Dharmendra,Naseeruddin Shah,Mukesh Khanna
1986,117,"Action, Drama, Horror",5.4,169,Shyam Ramsay,Tulsi Ramsay,Rana Jung Bahadur,Hemant Birje
2001,131,Horror,6.0,35,Kishan Shah,Birbal,Hemant Birje,Amit Kapoor
1993,139,"Crime, Mystery",5.3,26,A. Jagannathan,Mahesh Anand,Sulabha Arya,Laxmikant Berde
2020,143,"Action, Thriller",7.5,35,Bejoy Nambiar,Jim Sarbh,Harshvardhan Rane,Pulkit Samrat
1956,138,"Drama, Music",6.6,8,Nandlal Jaswantlal,Vyjayanthimala,Pradeep Kumar,Bipin Gupta
1991,131,Drama,6.0,35,Sunil Babbar,Vipin Sharma,Nadia Lanfranconi,Rajendra Gupta
1956,131,Unknown,6.0,35,Dwarka Khosla,Smriti Biswas,Daljeet,Maruti
1941,131,Unknown,6.0,35,Indurani,Nazir,Suraiya,Unknown
2003,235,"Drama, History, Romance",6.7,51,Robin Khosla,Shahbaaz Khan,Kulbhushan Kharbanda,Raghu Khosla
2005,164,"Drama, History, Musical",5.0,161,Akbar Khan,Zulfi Sayed,Sonya Jehan,Kabir Bedi
1957,131,Unknown,6.0,35,Dwarka Khosla,Jeevan,Ranjan,Shammi
1981,140,"Action, Adventure",5.7,12,Nikhil Saini,Raj Babbar,Smita Patil,Naseeruddin Shah
2016,131,Drama,6.0,35,Shams Tanweer,Radha Bhatt,Donal Bisht,Harshul Mehta
2015,131,Drama,7.4,19,Sunil Prem Vyas,Sulabha Arya,Anang Desai,Yash Eshawari
1991,131,"Action, Drama, History",6.0,35,Karan Johar,Kareena Kapoor,Anil Kapoor,Alia Bhatt
1991,131,Drama,6.0,35,Mustajab Malik,Swaraj,Unknown,Unknown
2019,121,Drama,6.1,50,Anamika Haksar,Ravindra Sahu,Raghuvir Yadav,Gopalan
1995,143,"Action, Crime, Drama",4.6,195,Bharat Rangachary,Naseeruddin Shah,Sunil Shetty,Sonali Bendre
1980,157,Drama,5.4,36,K. Bapaiah,Sanjeev Kumar,Jeetendra,Zeenat Aman
1956,131,Unknown,6.0,35,Hemen Gupta,Smriti Biswas,Helen,Iftekhar
1958,182,Drama,6.7,19,Mahesh Kaul,Rajendra Kumar,Kamini Kadam,Sajjan
1938,127,Unknown,6.0,35,Sohrab Modi,Naseem Banu,Gajanan Jagirdar,Navin Yagnik
1957,131,Unknown,6.0,35,Vishram Bedekar,Ashok Kumar,Bina Rai,Gajanan Jagirdar
2012,140,"Crime, Drama, Mystery",7.2,35,Reema Kagti,Priyamvada Narayanan,Aamir Khan,Kareena Kapoor
2003,153,"Action, Drama, Mystery",4.7,35,Suneel Darshan,Rakhee Gulzar,Akshay Kumar,Kareena Kapoor
1996,157,"Crime, Drama",4.3,34,Shyam Ramsay,Tulsi Ramsay,Jackie Shroff,Juhi Chawla
1983,131,Action,6.0,35,Sunil Chadha,Neelam Mehra,Javed Khan,Pushpa Soni
1941,131,Drama,6.0,35,Unknown,Unknown,Unknown,Unknown
1969,175,"Romance, Thriller",6.6,155,O.P. Ralhan,Rajendra Kumar,Sharmila Tagore,O.P. Ralhan
1935,131,Unknown,6.8,11,Chimanlal Luhar,Jaddanbai,Nargis,Qamar Jahan
1991,131,Drama,6.0,35,Prakash Saini,Sunil Tamang,Anju Gaur,Sachin Dhangar
2009,65,"Animation, Family, History",5.5,6,Renju Ramesh,Neenu Babu,Prosenjit Ganguly,Baiju Gopinath
2009,66,Animation,6.3,6,Renju Ramesh,Unknown,Unknown,Unknown
1934,131,Unknown,6.0,35,Mubarak,Unknown,Unknown,Unknown
1934,131,Unknown,6.0,35,Jagatrai Pesumal Advani,Sardar Akhtar,Unknown,Unknown
2020,83,"Crime, Drama, Romance",5.4,56,Anurag Jha,Yash Krishnani,Anurag Jha,Harshita Awale
2015,132,"Crime, Drama, Mystery",8.2,35,Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi
